	PL001 	PL002	PL003	PL004	PL005	PL006	PL007	PL008	PL009	PL010	PL011	PL012	PL013	PL014	PL015	PL016	PL017	PL018	PL019	PL020	PL021	PL022	PL023	PL024	PL025	PL026	PL027	PL028	PL029	PL030	PL031	PL032	PL033	PL034	PL035	PL036	PL037	PL038	PL039	PL040	PL043	PL044	PL045	PL046	PL047	PL048	PL049	PL050	PL051	PL052	PL053	PL054
Class	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder	Non_Responder
RvD1	2.6	0	0	7.9	0	0	0.2	0	1.2	1	0	0	1.3	8.7	1.4	1.6	0	0	0	0	0	0.6	2	0	0	1.9	0	10.7	0	0	9.5	4	5.2	0	0	0	1.2	4.1	0	0	0	4.1	6.9	4.6	6.1	0	1.5	1.4	0	2	0.4	0.5
RvD2	0	3.8	6.7	4.2	0	0	4.4	3.9	5	4.6	0	2.2	0	0	7.1	4.2	0	10.7	4.6	2.1	1.9	0	0	0	0	14	7.5	12.7	0	0	0	10.8	0	0	0	7.6	0	11.2	0	0	0	0	0	0	0	33.4	0	0	0	0	1.4	1.3
RvD3	1.5	0.7	0.3	0.4	0	0.2	0.4	0.3	0.4	0.1	0	0.2	0.3	0	0.5	1.7	0	0	0	1.8	0.2	0	0.6	0.5	1.9	0	2.1	0.3	0.6	3.2	0	1.3	0	0.4	1.1	3.8	1.6	1.1	0	2.1	3.2	1.7	0.6	0	1.4	3.1	0.3	0.5	0.8	0.6	0.1	0.1
RvD4	0	0.5	0.7	1.6	0	0	0.6	0.1	0.5	0	0	0	0.6	0	0.9	0.5	2.3	2.3	0.7	1.1	2.2	11.4	10.1	7.1	0	0	0.6	0.8	0	0	18	4.2	5.1	14.2	2.8	7.4	0.4	1	6.2	10.5	6.9	7.6	3.8	7.3	8.7	18.2	1.3	1	0.7	0	0.1	0.4
RvD5	9	6.4	3.8	5.9	5.2	8.4	6.2	10.8	4.8	4.5	13.2	17.8	0	4.4	3.8	9	7.7	0	6.9	6.5	4.2	6.5	4.2	11.6	7.6	9	31.8	8.3	9.3	10.2	9.8	5.8	12.5	26.7	11.7	6.8	21.4	6.6	8.8	3.8	6.7	4.7	11.9	7.5	7.2	12.4	0.5	2.6	5.3	2.6	1.1	3.3
RvD6	0.6	0	2.2	0	5.4	5.6	7	0	1.4	0	0	1	0	0.8	0.5	0	0	0	2	0.3	0.5	0	0.3	1	18.1	3	1.4	3.4	2	0	0	3	1.9	7.7	0.8	2.5	1.2	2.3	4.5	0	0	0.7	1.7	0	0.5	1.1	0.3	0.3	0	1.1	0.3	0.2
AT-RvD1	2.7	2.3	1.4	1.3	0	0.3	0.6	2.7	0	1.3	2.1	1	3.1	7	2.8	0.7	1	0	0.9	0	0.4	0	0	1.1	0	2.4	0	49.1	2.7	0	0	4.4	7.9	1.3	5.6	0	0	0	7.6	5.2	0	2.8	42.3	0	2.4	0	0	0	0	1.2	0.4	0.5
AT-RvD3	0	0.5	0.2	0	0.7	0	0	0.1	0	0	0	0	0.6	0	0	0	0	0.3	0.2	0	0	0	0	0	1	0.5	0.7	0	0.7	0	0	0	0	0.6	0	1.5	2	0.9	1.2	2.1	0	0.5	0	3.2	1.6	0	0.3	0	0	0.4	0	0
PD1	0	0	0	0	0	1.5	1.2	0	0.5	0	2.3	0	0	0	0	0	0	1.1	0.6	0	0	0	4.9	5	0	0	0	3.4	2.9	0	0	0	0	0	0	0	0	4.9	0	0	0	0	0	3.1	2.7	2.3	0.7	0.3	0.7	4.6	0.7	1.8
