	PL001	PL002	PL003	PL004	PL005	PL006	PL007	PL008	PL009	PL010	PL011	PL013	PL024	PL093	PL094	PL095	PL096	PL097	PL099	PL102	PL111	PL112	PL113	PL114	PL115	PL116	PL117	PL118	PL119	PL120	PL121	PL122	PL123	PL125	PL126	PL128	PL129	PL131	PL136	PL139	PL140	PL141	PL031	PL032	PL034	PL035	PL036	PL037	PL038	PL039	PL040	PL041	PL043	PL044	PL045	PL046	PL171	PL173
ABCC1	1297.99999	1556.0005	1038.00035	1079.28057	842.7035	1220.062222	1613.001	1500.82499	1455.001543	1002.0002	1822.74781	809.80713	833.9999701	1652.00411	1451.05667	1566.63258	1170.99724	1970.99925	627.99989	1335.06344	1124.99509	1521.1226	873.99955	549.00021	1166.76692	912.99979	1845.0017	1445.9995	1596.025422	2086.9967	1739.18164	1610.134783	1097.9972	1492.003267	1792.107803	1069.343309	397.0003558	651.9998001	963.06532	591.99977	694.0933107	917.00046	776.9995	1178.06547	1695.00396	1049.040662	743	1326.008273	1051.00229	2080.00458	1529.00142	1553.52766	2068.29225	1780.389111	1380.120833	782.9998789	1111.003216	991.02802
ALOX12	546.6208	350.62847	147.49488	267.88096	187.59088	259.4569	761.5111	308.1565	566.74718	555.9559	432.8788	111.1773197	143.49091	688.8186	248.46531	319.65603	357.77955	321.83429	116.04819	233.5497	262.64189	363.52965	450.20333	174.283	248.0366073	403.7734	424.96789	671.313	441.5389	426.44752	429.98806	336.71265	317.027	333.5921	353.87249	139.45392	148.7695	186.44067	81.60822	84.71688	157.43317	143.4764	325.0406	317.52807	525.2195	520.33547	163.80703	144.0414	167.57442	912.1123	386.28619	374.08003	623.2907	127.6808	469.5071	365.05099	559.80993	218.17082
ALOX15	341.39079	1410.34198	271.74386	156.32643	101.98197	396.62768	1632.23479	351.318798	873.64399	388.73907	649.32857	56.52877	817.03805	2731.67908	229.82006	464.64674	311.590852	235.7704031	279.84708	1781.2722	286.29967	782.47434	14.97227	146.7964	14.33569	112.1191	537.45273	579.780166	491.15544	2187.50741	599.58388	1447.45401	100.08774	688.53924	1467.89783	660.28113	4.22794	185.43289	540.28732	205.69992	667.48545	580.73438	328.88011	1001.71274	602.5733	593.28303	155.82591	941.11157	1294.81034	236.30138	229.660431	392.46846	902.627	1106.63564	588.47896	193.11198	260.6834	573.52229
ALOX15B	15.36532	27.8387	28.999992	10.03147	14.07661	8.163344542	18.12884	37.78826	41.61660045	8.55703	29.312566	8.35023	0	0	20.5391	15.2317	20.2742	33.5975	9.18706	18.18834	23.2226	15.2362	32.57035941	0	16.00000803	35.93351	37.22669	29.61872	12.25189	23.1411627	9.13937	12	8.18721	12	15.00001	13.023	3	24.355429	12	3	4	6	9.40156	3	4	3.11902	5	12.00000049	51.615	469.4264	13.297	13.5141	2.00848	27.00000006	11.03229	16.26334394	11.8075	10
ALOX5	12372.9987	9490.9947	8924.9991	9975.0029	6384.0016	7879.003	17797.9807	15189.0171	10759.9982	7474.9976	9530	6978.00076	3648.0021	10465.0032	9234.9958	12104.9946	6550.0002	23229.005	4589.0031	6773.99899	21150.0426	20013.0122	13005.0376	2825.9957	8195.9961	11214.9992	10879.0014	18961.9932	10138.9998	11981.0016	11805.0085	10214.0022	12501.0114	5319.001241	15261.009	10574.0008	1423.99951	4069.0016	4939.0032	4514.9987	2042.0022	3887.0022	8444.998	4270.995	12627.0143	7279.9989	6504.0035	4676.998	7607.9964	36269.992	8061.9984	13436.9962	11309.001	8564.0019	12821	5640.0032	8812	7397.0025
ALOX5AP	5664.99823	4060.99936	5174	5627.00028	3049	2993.99645	5649	6587.9976	4004.9958	3269.00427	5857.99767	3833.00466	1644.99502	4780.00243	4691.00206	5229.00296	3663.00159	9203.00178	3257.99759	4609.99992	10730.96159	10977.9928	8832	1603.00482	3693.00105	11862.97939	4383.00132	9049.00049	5029.99985	4080.99569	5494.00105	3123.99517	11475.0481	3757.99719	10095.01497	5345.99958	638	2246.00253	3847.00363	3315	1079.00215	1913.00465	3538	1813	4278.00362	3148.00368	3480.00111	2992.00387	3113.9986	21121.95306	2728.99567	5087.9987	2968.00463	3941.99892	4606.00146	3388.99552	3467.00362	1819
CMKLR1	540.999975	306.9994	382.99959	334.9995	187.9997	303.9996	683.00005	356.00035	474.0002	128	429.000215	209.9996	197.9998	181.9996	396.99967	234.00053	564.99982	707.99945	104.99995	391.99986	107.9999694	151.999886	222.0005	186.00024	433.0003	307.00031	390.0004001	304.00025	684.0001	586.99988	593	304.0001	178.9998	864.000158	1102.0001	344.00014	115	228.999542	240.9996241	127	131.0000064	225.0002603	324.9997	620.9996	680.00053	281	329	598.9999	396.00044	333.9996	1178.00027	226.999662	810.0006	408.0002275	404.00029	397.9999	242.0002	155.0001
DPEP1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
EPHX1	206.00024	175	125	120.99958	124	207	240.00036	226.00019	243.99994	164.0001	210.0101	87	87.9999	237	273.00024	203.0001	166	360.00003	75	133	168.00006	197.0004	100.00001	84	156	133.99978	268	190	209.99961	320.05368	264.00003	166	185.9995	97.04	156.0005	168.0004	28	65	131.99971	95.99997	76	109	167.99966	131	121.00015	205	128	214.00042	124.9999	346	271.9998	253.00006	183.74644	193.99962	123.1923	129	121	119
FPR2	12724.4715	7559.6179	8991.1414	7035.2717	5853.9979	4910.01937	9416.84366	10008.7726	6422.49356	4821.00037	7108.0488	7414.4171	3618.13208	5811.70379	4504.6195	9790.0275	5193.38082	16632.619	3593.00067	3436.9205	13251.8643	8721.4007	12353.39586	2611.01635	7872.82415	9692.11158	6798.3596	8687.1819	8108.3027	6440.51255	7340.45867	7858.52888	9468.9403	6166.6058	12852.3578	8045.7342	712.987	2643.00086	3921.99558	7080.1829	1576.37694	1661.9994	7338.977	3617.3007	8824.3087	4609.17333	4509.3795	3693.36854	3849.0035	20094.6247	7589.58925	7008.7119	3381.0036	6034.2526	7022.5335	5352.1392	4777.9183	5690.5641
GGT1	384.07151	223.9636269	256.93085	376.8435445	269.07683	408.14563	455.54134	420.89157	349.85738	354.538209	317.898725	182.41783	241.00344	267.42411	448.346121	347.7992308	263.97383	482.00925	246.0001165	273.548766	517.481275	391.84437	603.7176436	126.913995	338.00027	413.000157	342.8702201	514.3442802	307.09793	480.0509001	273.93863	424.8705982	344.9869989	240.2260228	569.5453374	285.0724233	88.936301	179.9999401	265.813715	228.74687	109.67059	183.0000522	314.55352	208.36982	336.518358	221.70659	196.94078	259.0981633	226.8332439	1436.327895	334.861248	354.1166802	588.8429395	377.8981375	202.0224228	305.23796	223.9318583	185.6463538
GPR18	175.00019	47	110.00001	87.99998	120	183.00008	191.99966	95.00000105	82.00004	32	242.00019	49.00002	58	133.99956	255.9996	213.9995414	191.9998207	261.0002	44	116.9998364	50.99997	95.00005	71	134.0003558	183.999507	82.99998916	345	100	245.9996	167.99983	139.99974	196.0004	76.00006	260.0004	246.9998066	114.99969	31	101.00003	110.9997174	116.00041	138.99997	153.0002772	110.9999	174.000022	68.99998	204.9995	164.0004	58.00002	23	75.99998	283.0004801	59.99995	88.99997	246.9999	146.99982	93.000036	119	102
GPR32	0	1	0	2	5	0	3	0	1	0	0	0	1	5	2	2	1	4	1	0	1	2	0	0	1	0	0	1	0	2	2	2	0	0	1	0	0	1	0	1	2	1	0	0	0	1	0	0	0	4	1	1	2	3	0	0	3	0
