logFC	logCPM	F	PValue	FDR
FPR2	0.352784392055317	17.5300183578163	4.45474131823272	0.0469782262013643	0.713295860205464
CMKLR1	-0.494716141672959	13.52043486741	2.68249654867451	0.116365389220471	0.713295860205464
ALOX5	0.215032642274707	17.999305990152	2.46412139566002	0.131429549726344	0.713295860205464
LTC4S	-0.442730415038461	9.32646993540197	2.13794087230379	0.15851019115677	0.713295860205464
GGT1	0.186405272828198	13.1622243568663	1.28218205534617	0.270266990855963	0.814477502594898
HPGD	-0.283216994611359	11.6119723477015	1.24084131655318	0.277905582461608	0.814477502594898
ALOX5AP	0.199685385338647	16.8438438615847	1.05193028644441	0.316741251009127	0.814477502594898
ALOX15B	-0.501512873118047	9.52033801559218	0.668024980166134	0.422924089597633	0.922194535244491
PTGS2	-0.41787679868593	16.9982959572248	0.470449889348227	0.500288651015562	0.922194535244491
ALOX12	0.168586708894884	13.2753338228304	0.444271382141838	0.512330297358051	0.922194535244491
PTGR1	-0.164209557054927	8.69336870236609	0.280757884180739	0.601766737572613	0.926109370109414
ALOX15	-0.229360828547199	13.9593782106277	0.226522751419643	0.639031757643272	0.926109370109414
GPR18	-0.19084222284699	11.7286650170405	0.188187295148929	0.668856767301244	0.926109370109414
ABCC1	0.0342980631601691	15.0532242973016	0.0584745290440801	0.811270854645046	0.95855214954729
EPHX1	-0.0386921272373435	12.3148377410203	0.043678500874021	0.836468326327886	0.95855214954729
SPHK1	-0.0444453747195612	11.5498593509465	0.0356538426358753	0.852046355153146	0.95855214954729
PTGS1	-0.0114371996081157	16.4029069317982	0.00253436675231193	0.960325571180122	0.995831925010283
LTA4H	-0.000913663164602582	17.017828266751	2.79472509193761e-05	0.995831925010283	0.995831925010283
